hash,elapsed_time,age,evaluation_status,evaluation_year,evaluation_start_time,tree,error_string,pickle,"FullDataSet False Positives","FullDataSet False Negatives","FullDataSet Num Elements"
0042f1e44b9e293156860b8ab460e9ceeb005e2f2c0337ab3ea3f604d82b20e2,5.47389,1,WAITING_FOR_MASTER,22,"2019-10-20 13:04:16","myBartlett(AdaBoostLearner(myGaussian(ARG0, 100.0, 0), ModifyLearnerInt(ModifyLearnerFloat(learnerType('Trees', {'criterion': 0, 'splitter': 0}), 0.01), falseBool, 150), 1, 10.0), 0)",NULL,...,19.2,20.4,53
0046de4e97c599e614c71d6e4945ef9de0dbc012de7ecec9ffe7d0cb596353b7,2761.99,1,WAITING_FOR_MASTER,22,"2019-10-20 12:34:01","AdaBoostLearner(ARG0, learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), myIntAdd(6365, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,19,20.2,26
004e45c5d797add85598ee72b4bb1a900afe4f408dc3a0eb52760acfc71fe63a,5.4779,1,EVALUATED,21,"2019-10-20 12:12:17","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(ModifyLearnerFloat(ModifyLearnerInt(learnerType('Trees', {'criterion': 0, 'splitter': 0}), trueBool, 5), 0.1), falseBool, 4), passTriState(1), myIntToFloat(9)), passFloat(0.01), passTriState(passTriState(0)))",NULL,...,19.4,20,61
00736c1f1137653a9030a34f16ad6b8cde585c0fa74168a8a84fa4142a152d89,14.5604,1,EVALUATED,18,"2019-10-20 02:57:09","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), falseBool, 5), passTriState(0), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,58.2,34,35
00a158031d6a75ea0edd4d17d20c245de6b369ba9b37aa766c63676496b258f1,5.47887,1,EVALUATED,20,"2019-10-20 06:30:04","AdaBoostLearner(ARG0, learnerType('ExtraTrees', {'n_estimators': 100, 'max_depth': 6, 'criterion': 0}), myIntDiv(myAnd(passBool(myNot(trueBool)), myNot(myNot(falseBool))), myIntDiv(ifThenElseBool(notEqual(0.1, 100.0), lessThan(myFloatAdd(100.0, 0.1), 3.0766988228034524), ifThenBool(trueBool, trueBool)), ifThenElseBool(notEqual(0.4830317834999054, 100.0), myOr(falseBool, falseBool), myAnd(trueBool, falseBool)))), 0.1)",NULL,...,15.6,21.6,71
00e96eb41b3e76ae2b062ef073e00096633b13ae5c45b0efecd43ac5c08d00ca,7.81454,1,EVALUATED,21,"2019-10-20 09:02:33","AdaBoostLearner(ARG0, learnerType('LogR', {'penalty': 0, 'C': 1.0}), 150, 10.0)",NULL,...,49.8,27.8,38
01238c09932ae8814b0f78a2f21744ce302598506b2b0f9c1ec20ab6286e1e59,10.598,1,EVALUATED,18,"2019-10-20 02:58:59","AdaBoostLearner(mySpectralEmbedding(ARG0, trueBool), ModifyLearnerFloat(learnerType('RandForest', {'n_estimators': 100, 'class_weight': 0, 'criterion': 0}), 0.01), myIntAdd(3, greaterThan(myFloatMult(100.0, myFloatSub(10.0, 0.1)), 100.0)), myFloatDiv(0.1, 0.1))",NULL,...,27.2,49.6,43
0133c70693156e90607cc1b0a6723d56fbe9ab08c4f9a94985a14b072e1ec735,700.169,1,EVALUATED,11,"2019-10-19 22:55:44","BaggedLearner(myBartlettHann(ARG0, 0), learnerType('SVM', {'C': 1.0, 'kernel': 0}))",NULL,...,16.2,21.8,31
014c5ff83bea4ce9e40740b832b4fbc57bf7091dbf15dd1dfa71096d5925aecb,6.55441,1,EVALUATED,21,"2019-10-20 09:04:54","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('SVM', {'C': 1.0, 'kernel': 0}), myFloatDiv(0.1, 0.1)), myIntAdd(myAnd(lessThanOrEqual(myFloatSub(myIntToFloat(equal(0.1, 0.1)), ifThenElseFloat(passBool(falseBool), myFloatSub(1.0, 0.1), myFloatAdd(0.01, 1.0))), ifThenElseFloat(equal(myFloatAdd(1.0, 100.0), myFloatMult(0.1, 1.0)), myFloatSub(myFloatAdd(100.0, 10.0), myFloatAdd(1.0, -0.5526309139303018)), myFloatMult(myFloatDiv(0.01, 10.0), myFloatDiv(myFloatSub(1.0, 10.0), 100.0)))), ifThenElseBool(trueBool, ifThenElseBool(myOr(ifThenElseBool(falseBool, trueBool, trueBool), lessThan(-3.279641282248301, 0.1)), lessThan(passFloat(10.0), passFloat(-2.0163054353169763)), passBool(myAnd(falseBool, falseBool))), trueBool)), equal(myFloatMult(100.0, 10.0), myFloatAdd(-4.942363516787686, 100.0))), myFloatDiv(0.1, 0.1))",NULL,...,12.4,30.6,100
01c8ef7a2479e0036e0465e398439ef3cce41990aaed0a8e340f665e53fffb24,482.361,1,EVALUATED,20,"2019-10-20 09:11:40","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('SVM', {'C': 1.0, 'kernel': 0}), 0.1), passInt(3727), myFloatDiv(0.1, 10.0))",NULL,...,6.4,38.6,44
026ed08ff58b78a2b144d94ff73e92b318bccfd90e69257a0ddaec4a97788ca9,5.53499,1,EVALUATED,21,"2019-10-20 12:12:17","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('Bayes', None), 0.01), myIntAdd(myIntAdd(3, greaterThanEqual(3.7557400244817103, 0.01)), greaterThan(myFloatMult(100.0, myFloatSub(10.0, 0.1)), 100.0)), myFloatDiv(0.01, 0.01))",NULL,...,38,19.6,35
0290fb558e1e1a53c40f2bcc4ac8c8ad828d6585fa941807e69facc2e589d09e,6.54018,1,EVALUATED,14,"2019-10-19 23:30:24","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 100.0), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",NULL,...,97,14,38
0318f53afa5b58a2d0dc5d0326dc295d12b65f6b58abe1f82cd49facb2f01a5d,92.6451,1,EVALUATED,17,"2019-10-20 03:56:08","BaggedLearner(myFlatTop(ARG0, 1), ModifyLearnerFloat(learnerType('Blup', None), ifThenElseFloat(falseBool, 0.01, myFloatMult(0.1, -3.394427916582292))))",NULL,...,16,36.2,37
032a81eae7964fb84c7c2ed9f343865348f75c2f150ed4d8a5eb4bdb9e34ae34,10.5513,1,EVALUATED,17,"2019-10-20 02:48:02","myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('RandForest', {'n_estimators': 100, 'class_weight': 0, 'criterion': 0}), trueBool, 4), passTriState(2), 10.0), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",NULL,...,16,19.6,57
0417ab4a1f93eb7321a1c267f6106bc2d3a1589f9085dc32386645a9f3f66995,6.50499,1,EVALUATED,17,"2019-10-20 02:47:22","AdaBoostLearner(ARG0, learnerType('RandForest', {'n_estimators': 100, 'class_weight': 0, 'criterion': 0}), 2, 0.01)",NULL,...,16,18.6,43
